-1,Siddharth Soman,612303004,computer,open,7.8
-1,Saanvi Mathur,612303005,computer,open,7.62
-1,Sourabh Wadhwa,612303033,computer,reserved,8.84
-1,Ravi Rao,612310001,mechanical,open,8.88
-1,Meera Tiwari,612310002,mechanical,open,6.68
-1,Shruti Singh,612310029,mechanical,reserved,5.7
-1,Ishita Sharma,612310030,mechanical,open,5.75
-1,Leena Das,612305001,electrical,open,9.31
-1,Myra Thakur,612305002,electrical,reserved,8.74
-1,Madhuri Arora,612305003,electrical,open,6.39
-1,Kunal Mukherjee,612305004,electrical,open,8.59
-1,Sagar Agarwal,612305005,electrical,reserved,5.9
